Language,Original,English,French,Spanish,Italian,German,Russian,Polish,Czech,Hungarian,Japanese
STR_CHANNEL_ITEM_RADIO,todo,todo,todo,todo,todo,todo,todo,todo,todo,todo,todo
STR_USERACTIONS_EATALL,Eat All,Eat All,Eat All,Comer todo,Eat All,Eat All,Съесть все,Eat All,Eat All,Eat All,Eat All
STR_ITEMS_BOONIEHAT,Boonie Hat,Boonie Hat,Boonie Hat,Boonie Hat,Boonie Hat,Boonie Hat,Панама Boonie,Boonie Hat,Boonie Hat,Boonie Hat,Boonie Hat
STR_ITEMS_BOONIEHAT_DESC,"A wide-brim hat used by many military forces, features a series of fabric brand loops around the crown for additional vegetation as camouflage.","A wide-brim hat used by many military forces, features a series of fabric brand loops around the crown for additional vegetation as camouflage.","A wide-brim hat used by many military forces, features a series of fabric brand loops around the crown for additional vegetation as camouflage.","A wide-brim hat used by many military forces, features a series of fabric brand loops around the crown for additional vegetation as camouflage.","A wide-brim hat used by many military forces, features a series of fabric brand loops around the crown for additional vegetation as camouflage.","A wide-brim hat used by many military forces, features a series of fabric brand loops around the crown for additional vegetation as camouflage.","Головной убор с широкими полями. Используется различными армиями. Имеет ленту из петель по окружности, позволяющую закреплять растительность для маскировки.","A wide-brim hat used by many military forces, features a series of fabric brand loops around the crown for additional vegetation as camouflage.","A wide-brim hat used by many military forces, features a series of fabric brand loops around the crown for additional vegetation as camouflage.","A wide-brim hat used by many military forces, features a series of fabric brand loops around the crown for additional vegetation as camouflage.","A wide-brim hat used by many military forces, features a series of fabric brand loops around the crown for additional vegetation as camouflage."
STR_ITEMS_TACTICALBACON,Can of Tactical Bacon,Can of Tactical Bacon,Can of Tactical Bacon,Can of Tactical Bacon,Can of Tactical Bacon,Can of Tactical Bacon,Банка "Tactical Bacon",Can of Tactical Bacon,Can of Tactical Bacon,Can of Tactical Bacon,Can of Tactical Bacon
STR_ITEMS_TACTICALBACON_DESC,Smoke flavor added. Fully cooked! Delicious canned bacon lasts over 10 years.,Smoke flavor added. Fully cooked! Delicious canned bacon lasts over 10 years.,Smoke flavor added. Fully cooked! Delicious canned bacon lasts over 10 years.,Smoke flavor added. Fully cooked! Delicious canned bacon lasts over 10 years.,Smoke flavor added. Fully cooked! Delicious canned bacon lasts over 10 years.,Smoke flavor added. Fully cooked! Delicious canned bacon lasts over 10 years.,Вкусный консервированный бекон. Теперь с копченым вкусом. Хранится более 10 лет.,Smoke flavor added. Fully cooked! Delicious canned bacon lasts over 10 years.,Smoke flavor added. Fully cooked! Delicious canned bacon lasts over 10 years.,Smoke flavor added. Fully cooked! Delicious canned bacon lasts over 10 years.,Smoke flavor added. Fully cooked! Delicious canned bacon lasts over 10 years.
STR_ITEMS_TOMATO,Tomato,Tomato,Tomato,Tomato,Tomato,Tomato,Помидор,Tomato,Tomato,Tomato,Tomato
STR_ITEMS_TOMATO_DESC,"The tomato is the edible, often red fruit/berry. The tomato is consumed in diverse ways, including raw, as an ingredient in many dishes, sauces, salads, and drinks.","The tomato is the edible, often red fruit/berry. The tomato is consumed in diverse ways, including raw, as an ingredient in many dishes, sauces, salads, and drinks.","The tomato is the edible, often red fruit/berry. The tomato is consumed in diverse ways, including raw, as an ingredient in many dishes, sauces, salads, and drinks.","The tomato is the edible, often red fruit/berry. The tomato is consumed in diverse ways, including raw, as an ingredient in many dishes, sauces, salads, and drinks.","The tomato is the edible, often red fruit/berry. The tomato is consumed in diverse ways, including raw, as an ingredient in many dishes, sauces, salads, and drinks.","The tomato is the edible, often red fruit/berry. The tomato is consumed in diverse ways, including raw, as an ingredient in many dishes, sauces, salads, and drinks.","Помидор - это съедобный, чаще всего красный овощ. Томаты употребляются различными способами, в том числе сырыми, а также в качестве ингредиента во многих блюдах, соусах, салатах и напитках.","The tomato is the edible, often red fruit/berry. The tomato is consumed in diverse ways, including raw, as an ingredient in many dishes, sauces, salads, and drinks.","The tomato is the edible, often red fruit/berry. The tomato is consumed in diverse ways, including raw, as an ingredient in many dishes, sauces, salads, and drinks.","The tomato is the edible, often red fruit/berry. The tomato is consumed in diverse ways, including raw, as an ingredient in many dishes, sauces, salads, and drinks.","The tomato is the edible, often red fruit/berry. The tomato is consumed in diverse ways, including raw, as an ingredient in many dishes, sauces, salads, and drinks."
STR_ITEMS_ROTTENTOMATO,Rotten Tomato,Rotten Tomato,Rotten Tomato,Rotten Tomato,Rotten Tomato,Rotten Tomato,Гнилой помидор,Rotten Tomato,Rotten Tomato,Rotten Tomato,Rotten Tomato
STR_ITEMS_CR75,CR75,CR75,CR75,CR75,CR75,CR75,CR75,CR75,CR75,CR75,CR75
STR_USERACTIONS_FEED_APPLE,Feed Fresh Apple,Feed Fresh Apple,Feed Fresh Apple,Feed Fresh Apple,Feed Fresh Apple,Feed Fresh Apple,Накормить свежим яблоком,Feed Fresh Apple,Feed Fresh Apple,Feed Fresh Apple,Feed Fresh Apple
STR_ITEMS_CEREAL_DESC,A box of high-calorie breakfast cereal made from processed grains that would traditionally be eaten with water or milk as the first meal of the day.,A box of high-calorie breakfast cereal made from processed grains that would traditionally be eaten with water or milk as the first meal of the day.,A box of high-calorie breakfast cereal made from processed grains that would traditionally be eaten with water or milk as the first meal of the day.,"Una caja de cereales para desayuno, ricos en calorías y fabricados a partir de grasas procesadas que se consumen mezcladas con agua o leche como primera comida del día.",A box of high-calorie breakfast cereal made from processed grains that would traditionally be eaten with water or milk as the first meal of the day.,A box of high-calorie breakfast cereal made from processed grains that would traditionally be eaten with water or milk as the first meal of the day.,"Коробка высококалорийных хлопьев, произведенных из переработанных зерновых. Традиционно употребляются с водой или молоком во время завтрака.",A box of high-calorie breakfast cereal made from processed grains that would traditionally be eaten with water or milk as the first meal of the day.,A box of high-calorie breakfast cereal made from processed grains that would traditionally be eaten with water or milk as the first meal of the day.,A box of high-calorie breakfast cereal made from processed grains that would traditionally be eaten with water or milk as the first meal of the day.,A box of high-calorie breakfast cereal made from processed grains that would traditionally be eaten with water or milk as the first meal of the day.
STR_ITEMS_CHECKSHIRTBRIGHTBLUE,Bright-Blue Check Shirt,Bright-Blue Check Shirt,Bright-Blue Check Shirt,Bright-Blue Check Shirt,Bright-Blue Check Shirt,Bright-Blue Check Shirt,Светло-синяя клетчатая рубашка,Bright-Blue Check Shirt,Bright-Blue Check Shirt,Bright-Blue Check Shirt,Bright-Blue Check Shirt
